rare_allele_shared_with	common_allele_shared_with	unique
11	11	0
163	163	0
167	167	0
73	73	0
176	176	0
181	181	0
182	182	0
146	146	0
180	180	0
135	135	0
39	39	0
45	45	0
177	177	0
172	172	0
178	178	0
172	172	0
182	182	0
182	182	0
171	171	0
180	180	0
168	168	0
181	181	0
177	177	0
47	47	0
180	180	0
178	178	0
175	175	0
179	179	0
178	178	0
39	39	0
163	163	0
180	180	0
169	169	0
158	158	0
174	174	0
112	112	0
159	159	0
139	139	0
179	179	0
115	115	0
144	144	0
173	173	0
96	96	0
175	175	0
181	181	0
178	178	0
178	178	0
179	179	0
183	183	0
180	180	0
181	181	0
44	44	0
157	157	0
167	167	0
116	116	0
164	164	0
181	181	0
135	135	0
129	129	0
162	162	0
182	182	0
180	180	0
156	156	0
181	181	0
176	176	0
33	33	0
163	163	0
175	175	0
168	168	0
167	167	0
182	182	0
180	180	0
181	181	0
179	179	0
174	174	0
181	181	0
143	143	0
180	180	0
182	182	0
153	153	0
177	177	0
179	179	0
175	175	0
171	171	0
182	182	0
178	178	0
173	173	0
182	182	0
182	182	0
179	179	0
169	169	0
182	182	0
56	56	0
182	182	0
146	146	0
38	38	0
182	182	0
181	181	0
137	137	0
180	180	0
180	180	0
171	171	0
175	175	0
177	177	0
86	86	0
171	171	0
181	181	0
170	170	0
182	182	0
181	181	0
156	156	0
182	182	0
63	63	0
22	22	0
173	173	0
170	170	0
174	174	0
154	154	0
146	146	0
142	142	0
145	145	0
136	136	0
132	132	0
171	171	0
56	56	0
135	135	0
182	182	0
179	179	0
175	175	0
181	181	0
148	148	0
144	144	0
182	182	0
170	170	0
177	177	0
182	182	0
181	181	0
177	177	0
182	182	0
66	66	0
173	173	0
172	172	0
177	177	0
61	61	0
81	81	0
174	174	0
167	167	0
164	164	0
180	180	0
121	121	0
179	179	0
146	146	0
168	168	0
183	183	0
176	176	0
68	68	0
54	54	0
182	182	0
180	180	0
163	163	0
168	168	0
180	180	0
80	80	0
179	179	0
182	182	0
154	154	0
96	96	0
174	174	0
60	60	0
165	165	0
171	171	0
100	100	0
182	182	0
175	175	0
182	182	0
141	141	0
145	145	0
175	175	0
183	183	0
31	31	0
182	182	0
182	182	0
174	174	0
161	161	0
180	180	0
169	169	0
181	181	0
42	42	0
81	81	0
27	27	0
177	177	0
181	181	0
75	75	0
106	106	0
180	180	0
181	181	0
181	181	0
12	12	0
179	179	0
171	171	0
93	93	0
58	58	0
55	55	0
145	145	0
182	182	0
166	166	0
182	182	0
182	182	0
171	171	0
138	138	0
159	159	0
66	66	0
39	39	0
176	176	0
180	180	0
182	182	0
182	182	0
182	182	0
144	144	0
182	182	0
178	178	0
182	182	0
12	12	0
60	60	0
180	180	0
179	179	0
154	154	0
77	77	0
174	174	0
182	182	0
182	182	0
179	179	0
178	178	0
182	182	0
182	182	0
182	182	0
182	182	0
182	182	0
168	168	0
182	182	0
182	182	0
174	174	0
181	181	0
176	176	0
161	161	0
182	182	0
6	6	0
8	8	0
182	182	0
177	177	0
179	179	0
19	19	0
159	159	0
178	178	0
181	181	0
182	182	0
138	138	0
169	169	0
182	182	0
182	182	0
170	170	0
182	182	0
176	176	0
24	24	0
63	63	0
50	50	0
32	32	0
182	182	0
175	175	0
171	171	0
176	176	0
53	53	0
181	181	0
19	19	0
170	170	0
170	170	0
182	182	0
182	182	0
180	180	0
169	169	0
181	181	0
182	182	0
182	182	0
174	174	0
171	171	0
182	182	0
173	173	0
182	182	0
182	182	0
176	176	0
171	171	0
162	162	0
20	20	0
125	125	0
182	182	0
181	181	0
169	169	0
182	182	0
182	182	0
176	176	0
15	15	0
181	181	0
172	172	0
169	169	0
182	182	0
167	167	0
67	67	0
156	156	0
174	174	0
175	175	0
9	9	0
173	173	0
176	176	0
16	16	0
182	182	0
179	179	0
182	182	0
169	169	0
182	182	0
182	182	0
182	182	0
182	182	0
182	182	0
162	162	0
134	134	0
172	172	0
182	182	0
181	181	0
178	178	0
25	25	0
172	172	0
181	181	0
181	181	0
165	165	0
177	177	0
179	179	0
150	150	0
182	182	0
164	164	0
178	178	0
180	180	0
72	72	0
159	159	0
178	178	0
177	177	0
149	149	0
24	24	0
178	178	0
175	175	0
182	182	0
53	53	0
175	175	0
180	180	0
179	179	0
177	177	0
180	180	0
178	178	0
161	161	0
179	179	0
162	162	0
180	180	0
182	182	0
181	181	0
150	150	0
176	176	0
158	158	0
181	181	0
177	177	0
176	176	0
182	182	0
168	168	0
182	182	0
182	182	0
181	181	0
155	155	0
182	182	0
175	175	0
180	180	0
162	162	0
180	180	0
168	168	0
49	49	0
181	181	0
167	167	0
181	181	0
165	165	0
182	182	0
175	175	0
182	182	0
87	87	0
175	175	0
182	182	0
120	120	0
181	181	0
182	182	0
182	182	0
180	180	0
145	145	0
179	179	0
125	125	0
50	50	0
181	181	0
182	182	0
176	176	0
181	181	0
174	174	0
80	80	0
180	180	0
163	163	0
178	178	0
178	178	0
12	12	0
182	182	0
170	170	0
139	139	0
175	175	0
182	182	0
181	181	0
58	58	0
179	179	0
180	180	0
72	72	0
175	175	0
179	179	0
172	172	0
176	176	0
182	182	0
162	162	0
175	175	0
182	182	0
73	73	0
180	180	0
171	171	0
182	182	0
182	182	0
182	182	0
164	164	0
182	182	0
170	170	0
117	117	0
154	154	0
36	36	0
161	161	0
177	177	0
150	150	0
181	181	0
135	135	0
181	181	0
169	169	0
181	181	0
182	182	0
178	178	0
182	182	0
170	170	0
170	170	0
182	182	0
80	80	0
180	180	0
161	161	0
24	24	0
182	182	0
127	127	0
180	180	0
147	147	0
182	182	0
170	170	0
180	180	0
158	158	0
179	179	0
181	181	0
176	176	0
176	176	0
22	22	0
182	182	0
180	180	0
181	181	0
182	182	0
180	180	0
180	180	0
182	182	0
88	88	0
181	181	0
6	6	0
63	63	0
12	12	0
181	181	0
182	182	0
182	182	0
150	150	0
181	181	0
173	173	0
97	97	0
118	118	0
182	182	0
182	182	0
41	41	0
176	176	0
172	172	0
147	147	0
179	179	0
162	162	0
159	159	0
162	162	0
160	160	0
143	143	0
174	174	0
164	164	0
162	162	0
182	182	0
182	182	0
181	181	0
182	182	0
24	24	0
177	177	0
181	181	0
149	149	0
178	178	0
171	171	0
182	182	0
163	163	0
167	167	0
70	70	0
158	158	0
176	176	0
181	181	0
181	181	0
69	69	0
52	52	0
172	172	0
169	169	0
175	175	0
14	14	0
158	158	0
119	119	0
182	182	0
182	182	0
173	173	0
14	14	0
175	175	0
176	176	0
182	182	0
182	182	0
172	172	0
164	164	0
130	130	0
160	160	0
88	88	0
166	166	0
182	182	0
181	181	0
182	182	0
173	173	0
102	102	0
182	182	0
177	177	0
177	177	0
166	166	0
176	176	0
178	178	0
179	179	0
78	78	0
182	182	0
177	177	0
179	179	0
182	182	0
176	176	0
177	177	0
180	180	0
175	175	0
146	146	0
182	182	0
40	40	0
166	166	0
48	48	0
181	181	0
182	182	0
118	118	0
182	182	0
182	182	0
181	181	0
178	178	0
182	182	0
130	130	0
182	182	0
166	166	0
5	5	0
182	182	0
178	178	0
44	44	0
16	16	0
178	178	0
172	172	0
179	179	0
180	180	0
182	182	0
174	174	0
178	178	0
182	182	0
151	151	0
178	178	0
172	172	0
182	182	0
179	179	0
175	175	0
150	150	0
181	181	0
181	181	0
171	171	0
175	175	0
182	182	0
170	170	0
148	148	0
182	182	0
124	124	0
181	181	0
170	170	0
181	181	0
165	165	0
181	181	0
107	107	0
182	182	0
163	163	0
180	180	0
166	166	0
180	180	0
182	182	0
182	182	0
182	182	0
181	181	0
182	182	0
165	165	0
181	181	0
174	174	0
179	179	0
62	62	0
181	181	0
175	175	0
180	180	0
182	182	0
182	182	0
172	172	0
44	44	0
75	75	0
170	170	0
181	181	0
178	178	0
181	181	0
171	171	0
182	182	0
173	173	0
182	182	0
182	182	0
133	133	0
182	182	0
63	63	0
169	169	0
49	49	0
182	182	0
31	31	0
160	160	0
176	176	0
178	178	0
174	174	0
176	176	0
160	160	0
177	177	0
176	176	0
182	182	0
181	181	0
141	141	0
26	26	0
178	178	0
163	163	0
182	182	0
167	167	0
182	182	0
180	180	0
165	165	0
182	182	0
55	55	0
