rare_allele_shared_with	common_allele_shared_with	unique
171	171	0
163	163	0
167	167	0
73	73	0
176	176	0
181	181	0
182	182	0
36	36	0
180	180	0
135	135	0
143	143	0
137	137	0
177	177	0
172	172	0
178	178	0
172	172	0
182	182	0
182	182	0
171	171	0
180	180	0
168	168	0
181	181	0
177	177	0
135	135	0
180	180	0
178	178	0
175	175	0
179	179	0
178	178	0
143	143	0
163	163	0
180	180	0
13	13	0
24	24	0
174	174	0
70	70	0
159	159	0
139	139	0
179	179	0
67	67	0
144	144	0
173	173	0
86	86	0
175	175	0
181	181	0
178	178	0
178	178	0
179	179	0
183	183	0
180	180	0
181	181	0
138	138	0
157	157	0
167	167	0
66	66	0
18	18	0
181	181	0
135	135	0
129	129	0
162	162	0
182	182	0
180	180	0
156	156	0
181	181	0
176	176	0
33	33	0
163	163	0
175	175	0
168	168	0
167	167	0
182	182	0
180	180	0
181	181	0
179	179	0
174	174	0
181	181	0
143	143	0
180	180	0
182	182	0
153	153	0
177	177	0
179	179	0
175	175	0
171	171	0
182	182	0
178	178	0
173	173	0
182	182	0
182	182	0
179	179	0
169	169	0
182	182	0
126	126	0
182	182	0
146	146	0
38	38	0
182	182	0
181	181	0
137	137	0
180	180	0
180	180	0
171	171	0
175	175	0
177	177	0
86	86	0
171	171	0
181	181	0
170	170	0
182	182	0
181	181	0
156	156	0
182	182	0
119	119	0
160	160	0
173	173	0
170	170	0
174	174	0
154	154	0
36	36	0
40	40	0
145	145	0
46	46	0
132	132	0
11	11	0
126	126	0
47	47	0
182	182	0
179	179	0
175	175	0
181	181	0
148	148	0
38	38	0
182	182	0
170	170	0
177	177	0
182	182	0
181	181	0
177	177	0
182	182	0
66	66	0
173	173	0
172	172	0
177	177	0
121	121	0
81	81	0
174	174	0
167	167	0
164	164	0
180	180	0
121	121	0
179	179	0
146	146	0
168	168	0
183	183	0
176	176	0
68	68	0
128	128	0
182	182	0
180	180	0
163	163	0
168	168	0
180	180	0
102	102	0
179	179	0
182	182	0
154	154	0
96	96	0
174	174	0
60	60	0
165	165	0
11	11	0
100	100	0
182	182	0
175	175	0
182	182	0
141	141	0
145	145	0
175	175	0
183	183	0
151	151	0
182	182	0
182	182	0
174	174	0
161	161	0
180	180	0
169	169	0
181	181	0
42	42	0
81	81	0
155	155	0
177	177	0
181	181	0
107	107	0
76	76	0
180	180	0
181	181	0
181	181	0
170	170	0
179	179	0
171	171	0
89	89	0
58	58	0
55	55	0
37	37	0
182	182	0
166	166	0
182	182	0
182	182	0
171	171	0
138	138	0
159	159	0
