rare_allele_shared_with	common_allele_shared_with	unique
171	171	0
19	19	0
15	15	0
109	109	0
176	176	0
181	181	0
182	182	0
146	146	0
180	180	0
135	135	0
143	143	0
45	45	0
177	177	0
172	172	0
178	178	0
172	172	0
182	182	0
182	182	0
171	171	0
180	180	0
14	14	0
181	181	0
177	177	0
47	47	0
180	180	0
178	178	0
175	175	0
179	179	0
178	178	0
143	143	0
163	163	0
180	180	0
169	169	0
158	158	0
174	174	0
112	112	0
159	159	0
139	139	0
179	179	0
115	115	0
38	38	0
173	173	0
86	86	0
7	7	0
181	181	0
178	178	0
178	178	0
179	179	0
183	183	0
180	180	0
181	181	0
44	44	0
157	157	0
167	167	0
66	66	0
164	164	0
181	181	0
47	47	0
53	53	0
162	162	0
182	182	0
180	180	0
26	26	0
181	181	0
176	176	0
149	149	0
163	163	0
175	175	0
168	168	0
167	167	0
182	182	0
180	180	0
181	181	0
179	179	0
174	174	0
181	181	0
143	143	0
180	180	0
182	182	0
29	29	0
177	177	0
179	179	0
175	175	0
171	171	0
182	182	0
178	178	0
173	173	0
182	182	0
182	182	0
179	179	0
169	169	0
182	182	0
56	56	0
182	182	0
146	146	0
144	144	0
182	182	0
181	181	0
45	45	0
180	180	0
180	180	0
171	171	0
175	175	0
177	177	0
86	86	0
171	171	0
181	181	0
12	12	0
182	182	0
181	181	0
156	156	0
182	182	0
63	63	0
160	160	0
9	9	0
170	170	0
174	174	0
154	154	0
36	36	0
142	142	0
37	37	0
46	46	0
132	132	0
171	171	0
56	56	0
47	47	0
182	182	0
179	179	0
175	175	0
181	181	0
34	34	0
38	38	0
182	182	0
170	170	0
177	177	0
182	182	0
181	181	0
177	177	0
182	182	0
116	116	0
173	173	0
172	172	0
177	177	0
61	61	0
81	81	0
8	8	0
15	15	0
164	164	0
180	180	0
61	61	0
179	179	0
36	36	0
14	14	0
183	183	0
176	176	0
68	68	0
128	128	0
182	182	0
180	180	0
163	163	0
14	14	0
180	180	0
80	80	0
3	3	0
182	182	0
28	28	0
96	96	0
174	174	0
122	122	0
165	165	0
11	11	0
82	82	0
182	182	0
175	175	0
182	182	0
41	41	0
145	145	0
175	175	0
183	183	0
31	31	0
182	182	0
182	182	0
8	8	0
21	21	0
180	180	0
169	169	0
181	181	0
140	140	0
81	81	0
155	155	0
177	177	0
181	181	0
107	107	0
76	76	0
180	180	0
181	181	0
181	181	0
170	170	0
179	179	0
171	171	0
89	89	0
58	58	0
127	127	0
37	37	0
182	182	0
16	16	0
182	182	0
182	182	0
171	171	0
44	44	0
23	23	0
66	66	0
143	143	0
176	176	0
180	180	0
182	182	0
182	182	0
182	182	0
38	38	0
182	182	0
178	178	0
182	182	0
170	170	0
60	60	0
180	180	0
