rare_allele_shared_with	common_allele_shared_with	unique
171	171	0
163	163	0
167	167	0
73	73	0
176	176	0
181	181	0
182	182	0
146	146	0
2	2	0
47	47	0
143	143	0
137	137	0
177	177	0
172	172	0
178	178	0
172	172	0
182	182	0
182	182	0
11	11	0
180	180	0
168	168	0
181	181	0
177	177	0
135	135	0
2	2	0
178	178	0
7	7	0
179	179	0
178	178	0
143	143	0
163	163	0
180	180	0
169	169	0
158	158	0
174	174	0
70	70	0
159	159	0
43	43	0
3	3	0
115	115	0
144	144	0
173	173	0
86	86	0
175	175	0
181	181	0
178	178	0
178	178	0
179	179	0
183	183	0
180	180	0
181	181	0
44	44	0
157	157	0
15	15	0
66	66	0
164	164	0
181	181	0
47	47	0
53	53	0
162	162	0
182	182	0
180	180	0
156	156	0
181	181	0
176	176	0
149	149	0
163	163	0
175	175	0
168	168	0
167	167	0
182	182	0
180	180	0
181	181	0
179	179	0
174	174	0
181	181	0
143	143	0
180	180	0
182	182	0
29	29	0
177	177	0
179	179	0
175	175	0
11	11	0
182	182	0
178	178	0
173	173	0
182	182	0
182	182	0
179	179	0
169	169	0
182	182	0
56	56	0
182	182	0
146	146	0
144	144	0
182	182	0
181	181	0
45	45	0
180	180	0
180	180	0
171	171	0
175	175	0
177	177	0
86	86	0
171	171	0
181	181	0
170	170	0
182	182	0
181	181	0
26	26	0
182	182	0
63	63	0
160	160	0
173	173	0
170	170	0
174	174	0
154	154	0
146	146	0
142	142	0
145	145	0
136	136	0
50	50	0
171	171	0
56	56	0
135	135	0
182	182	0
179	179	0
175	175	0
181	181	0
34	34	0
144	144	0
182	182	0
170	170	0
177	177	0
182	182	0
181	181	0
177	177	0
182	182	0
66	66	0
173	173	0
10	10	0
177	177	0
61	61	0
101	101	0
174	174	0
15	15	0
164	164	0
180	180	0
61	61	0
179	179	0
36	36	0
168	168	0
183	183	0
176	176	0
114	114	0
128	128	0
182	182	0
180	180	0
163	163	0
168	168	0
180	180	0
80	80	0
179	179	0
182	182	0
28	28	0
86	86	0
174	174	0
60	60	0
165	165	0
11	11	0
82	82	0
182	182	0
175	175	0
182	182	0
41	41	0
145	145	0
175	175	0
183	183	0
31	31	0
182	182	0
182	182	0
174	174	0
21	21	0
180	180	0
169	169	0
181	181	0
42	42	0
81	81	0
155	155	0
177	177	0
181	181	0
75	75	0
76	76	0
180	180	0
181	181	0
181	181	0
170	170	0
179	179	0
11	11	0
89	89	0
58	58	0
55	55	0
145	145	0
182	182	0
166	166	0
182	182	0
182	182	0
171	171	0
44	44	0
23	23	0
